ds;y;Região;Temperatura;Umidade;População 2024;e_feriado;dia_semana;dia_mes;semana_ano;mes;trimestre
2024-01-18;8904,275;Nordeste;27,4;71,8;57112096;False;3;18;3;1;1
2024-01-18;3944,994;Norte;26,6;83,1;18669345;False;3;18;3;1;1
2024-01-18;29767,952;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;3;18;3;1;1
2024-01-18;8951,379;Sul;22,7;78,2;31113021;False;3;18;3;1;1
2024-01-19;9051,002;Nordeste;27,4;71,8;57112096;False;4;19;3;1;1
2024-01-19;3994,8959999999997;Norte;26,6;83,1;18669345;False;4;19;3;1;1
2024-01-19;29088,237;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;4;19;3;1;1
2024-01-19;9453,150000000001;Sul;22,7;78,2;31113021;False;4;19;3;1;1
2024-01-20;8527,569;Nordeste;27,4;71,8;57112096;False;5;20;3;1;1
2024-01-20;3817,968;Norte;26,6;83,1;18669345;False;5;20;3;1;1
2024-01-20;25951,463;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;5;20;3;1;1
2024-01-20;8334,092;Sul;22,7;78,2;31113021;False;5;20;3;1;1
2024-01-21;8075,393999999999;Nordeste;27,4;71,8;57112096;False;6;21;3;1;1
2024-01-21;3717,209;Norte;26,6;83,1;18669345;False;6;21;3;1;1
2024-01-21;23538,561;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;6;21;3;1;1
2024-01-21;6876,5779999999995;Sul;22,7;78,2;31113021;False;6;21;3;1;1
2024-01-22;9057,453;Nordeste;27,4;71,8;57112096;False;0;22;4;1;1
2024-01-22;4093,6929999999998;Norte;26,6;83,1;18669345;False;0;22;4;1;1
2024-01-22;25818,116;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;0;22;4;1;1
2024-01-22;8001,118;Sul;22,7;78,2;31113021;False;0;22;4;1;1
2024-01-23;8995,946;Nordeste;27,4;71,8;57112096;False;1;23;4;1;1
2024-01-23;4040,989;Norte;26,6;83,1;18669345;False;1;23;4;1;1
2024-01-23;24816,779000000002;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;1;23;4;1;1
2024-01-23;7516,51;Sul;22,7;78,2;31113021;False;1;23;4;1;1
2024-01-24;8855,827;Nordeste;27,4;71,8;57112096;False;2;24;4;1;1
2024-01-24;4016,9590000000003;Norte;26,6;83,1;18669345;False;2;24;4;1;1
2024-01-24;23315,519999999997;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;2;24;4;1;1
2024-01-24;7390,886;Sul;22,7;78,2;31113021;False;2;24;4;1;1
2024-01-25;8694,723;Nordeste;27,4;71,8;57112096;False;3;25;4;1;1
2024-01-25;3963,575;Norte;26,6;83,1;18669345;False;3;25;4;1;1
2024-01-25;23193,213;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;3;25;4;1;1
2024-01-25;7125,362;Sul;22,7;78,2;31113021;False;3;25;4;1;1
2024-01-26;8553,452000000001;Nordeste;27,4;71,8;57112096;False;4;26;4;1;1
2024-01-26;3825,015;Norte;26,6;83,1;18669345;False;4;26;4;1;1
2024-01-26;23074,981;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;4;26;4;1;1
2024-01-26;7129,875;Sul;22,7;78,2;31113021;False;4;26;4;1;1
2024-01-27;7943,942999999999;Nordeste;27,4;71,8;57112096;False;5;27;4;1;1
2024-01-27;3554,701;Norte;26,6;83,1;18669345;False;5;27;4;1;1
2024-01-27;21824,551;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;5;27;4;1;1
2024-01-27;6550,567999999999;Sul;22,7;78,2;31113021;False;5;27;4;1;1
2024-01-28;7499,456;Nordeste;27,4;71,8;57112096;False;6;28;4;1;1
2024-01-28;3445,802;Norte;26,6;83,1;18669345;False;6;28;4;1;1
2024-01-28;20968,375;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;6;28;4;1;1
2024-01-28;6237,303;Sul;22,7;78,2;31113021;False;6;28;4;1;1
2024-01-29;8417,063;Nordeste;27,4;71,8;57112096;False;0;29;5;1;1
2024-01-29;3785,1330000000003;Norte;26,6;83,1;18669345;False;0;29;5;1;1
2024-01-29;24437,272;Sudeste/Centro-Oeste;24,693831507314158;77,53847374390487;105689288;False;0;29;5;1;1
